Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Djibouti,DJI,39.77403441,39.24242093,39.21032801,38.93872764,39.48111063,38.61617028,37.67965602,36.93662046,35.99315951,35.09664509,16.80328582,16.43993773,16.1969111,16.50984483,15.78410021,14.6757573,13.51782556,13.87175676,15.29598197,13.09986946,14.71614647,10.92451607,14.17046078,14.38331944,14.39378542,12.45174705,11.16650384,9.583137074,9.921520781,
        Dominica,DMA,12.72456002,12.74042607,12.71189253,12.63239523,16.05479048,19.92821703,20.03120217,20.19959916,21.32979644,22.18203615,25.92939799,27.75162794,26.08952169,28.99710465,34.21384631,32.69635523,32.54022815,39.27000028,35.33977201,35.87615139,37.5054978,37.97686056,36.52068767,36.44840832,37.57155054,38.97860039,40.68155755,37.91201377,39.00441975,
        Dominican Republic,DOM,19.44821981,18.44455435,19.35664196,17.81950076,19.03944393,20.19510532,21.57956133,22.45272085,22.87346135,25.57763332,34.68020048,33.21109207,34.56840397,31.26922687,28.74219959,31.0883598,30.64289212,31.10478026,30.52766124,29.78972354,30.90056194,30.04131601,32.94930836,31.0465788,29.4650007,32.30472455,33.97538971,33.14469705,36.25997267,
        Ecuador,ECU,24.71022823,25.3935493,27.64832374,26.19952269,27.88680532,26.79079091,28.41572954,28.62245258,28.73965668,27.04345991,29.10731091,30.39008136,30.42534891,30.97625873,33.1119044,34.55645814,35.93150846,37.39010504,38.40130712,38.93238608,39.7936359,40.4884098,41.45814207,41.67685243,44.56453305,42.608696,41.42266249,41.39112422,42.69282607,
        Egypt,EGY,25.31919971,24.79284034,24.32086214,25.28808378,26.08446033,26.24538794,27.83636289,28.23304175,28.63488507,28.75099279,29.13708706,31.97376346,31.26384424,33.4322307,35.45666602,36.43462126,37.95084947,39.60197138,40.34444632,41.47203498,42.35453534,42.84052672,43.69932182,42.3158918,41.23079319,40.34558247,39.8783251,41.56114158,41.00726042,
        El Salvador,SLV,10.17656625,9.922333725,11.07551032,11.32193592,12.23570985,15.05631453,15.2348195,14.97344826,16.9189542,17.72657133,17.03927374,17.57664596,17.89724921,18.99361896,18.84903628,19.40955093,20.42264654,21.20185537,20.53657593,19.72788356,20.36650655,20.26822821,20.31930596,19.73743438,20.07433153,20.36099152,20.4033613,19.97624984,21.40550825,
        Equatorial Guinea,GNQ,4.140746849,4.010265569,3.890776548,3.751462572,3.6225903,3.493513149,3.373538775,3.650230288,4.830199303,4.637183571,8.688120943,9.459535725,80.92734432,81.31033846,17.29793494,77.30214152,74.71259436,80.54355431,77.2405091,75.76263666,73.31360685,71.60028025,67.59035582,62.11972981,57.6938392,50.91741461,48.85018215,49.4447398,51.26564394,
        Eritrea,ERI,--,--,--,--,5.982489583,6.887281726,6.983677189,7.00464999,7.380286673,7.600977018,3.868842755,4.049486204,3.534880899,4.063569741,4.251517704,4.093402179,2.748543857,2.756975032,1.918825749,2.268447509,2.218572656,2.234985054,2.349944617,2.371037265,2.450340778,2.40486296,2.418451681,2.647883064,3.059337959,
        Estonia,EST,--,--,76.56777559,64.00702461,61.08274966,55.42216362,61.60793863,67.74674205,82.15550505,62.54151022,59.7355281,68.25941536,56.68680082,55.50231654,61.46303012,63.79533515,70.51038014,69.03881786,72.27813305,63.71158294,61.25444326,59.30096871,74.00244827,69.02055555,66.01657611,68.95163748,67.12150995,68.73132895,71.59424785,78.81744912
        Eswatini,SWZ,14.30839584,14.24137675,13.5956505,13.23268074,16.7583727,16.06895201,15.06077866,15.19192711,18.48859546,18.57542679,21.27684133,21.28609024,21.81411755,19.98930845,19.35638584,19.97243903,19.60656126,20.4869049,20.27025695,19.486843,18.47084996,18.39969346,18.47560432,17.05304179,17.95681303,18.24733501,18.6685825,18.87423004,20.46282985,
