,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
64,Guinea-Bissau,GNB,3.1700000000000004,3.1800000000000006,3.21,3.2500000000000004,3.2699999999999996,3.31,3.1200000000000006,3.17,3.3900000000000006,3.749999999999999,3.4600000000000004,4.8,4.46,4.41,4.300000000000001,4.25,3.7100000000000004,3.749999999999999,3.64,3.849999999999999,3.980000000000001,3.910000000000005,4.109999999999994,4.010000000000002,4.019999999999995,4.170000000000001,4.110000000000003,4.239999999999996
65,Guyana,GUY,22.41,22.64,22.63,22.76,23.06,23.41,14.1,14.12,17.72,12.93,12.360000000000001,16.29,17.789999999999996,46.79,15.92,25.22,17.87,17.4,19.960000000000004,22.02,34.45,24.3,29.20000000000001,26.889999999999993,35.42999999999999,46.93999999999999,37.60000000000001,37.699999999999996
66,Haiti,HTI,5.21,5.44,5.86,5.5,4.99,5.790000000000001,6.07,6.500000000000001,6.630000000000001,6.76,7.24,7.43,7.659999999999998,7.700000000000001,7.58,7.67,7.720000000000001,8.129999999999999,8.150000000000002,8.200000000000001,8.730000000000002,9.110000000000005,8.849999999999998,9.139999999999997,9.509999999999998,9.83000000000001,10.020000000000008,10.04
67,Honduras,HND,53.46999999999999,53.61000000000001,53.94,53.77,54.47,55.26,53.95,54.27000000000001,54.78,53.76,54.220000000000006,42.82999999999999,43.339999999999996,48.85,45.830000000000005,48.54,46.65,47.28,47.4,47.61,47.410000000000004,50.209999999999994,48.349999999999994,50.109999999999985,50.92000000000001,50.31000000000001,51.120000000000005,51.01000000000001
68,Hungary,HUN,90.75999999999999,85.73000000000002,75.78,76.33,75.99,74.29,76.49,74.83,74.71,75.43,72.64,76.68,74.66,77.6,76.38,75.41,72.53,70.45,68.96,63.02,62.990000000000016,63.53,59.76000000000001,57.20000000000001,57.65,60.54000000000001,61.15,63.06
69,Iceland,ISL,3.380000000000001,3.2599999999999993,3.06,3.0200000000000005,3.1,3.04,3.29,3.2699999999999996,3.42,3.4,3.43,3.2799999999999994,3.34,3.310000000000001,3.38,3.3500000000000005,4.009999999999998,3.7999999999999985,3.6900000000000004,3.3500000000000005,3.229999999999999,2.920000000000008,2.910000000000004,3.0699999999999954,3.1400000000000015,3.1800000000000033,3.1500000000000035,3.270000000000002
70,India,IND,1184.08,1239.12,1271.34,1303.07,1349.41,1415.03,1460.58,1519.01,1553.2,1631.2,1669.1399999999999,1575.11,1596.86,1645.7,1735.12,1806.2099999999998,1941.4300000000003,2087.76,2185.08,2339.28,2449.3,2798.04,2947.94,3003.54,3175.79,3188.03,3230.06,3356.7
71,Indonesia,IDN,1509.17,1526.5100000000002,1547.0900000000001,1563.34,1579.97,1610.76,1399.99,2386.18,1594.0899999999997,1477.87,1406.12,1663.53,2198.69,1822.3299999999997,2205.0,1911.6499999999999,2680.4,2055.89,2043.38,2478.2199999999993,2079.39,2335.3,2357.19,2294.34,2729.18,2776.53,2228.89,2275.4
72,Ireland,IRL,54.349999999999994,54.92,55.13000000000001,55.78,57.260000000000005,58.1,59.65,61.149999999999984,64.55,66.11,69.08,71.81,71.07,71.39,70.59,71.85,67.33,65.82,64.62000000000002,59.25,58.36,60.589999999999996,62.01999999999999,61.09000000000001,61.249999999999986,63.249999999999986,65.59,64.96000000000001
73,Israel,ISR,44.09,45.17,47.95,52.01,55.34,59.169999999999995,62.27,65.29,66.66,68.85,73.72,73.44,75.45,76.27,77.37,76.03,80.42,83.61,84.29,83.86999999999999,89.32,89.50999999999998,96.63999999999999,88.48,87.08000000000001,89.42999999999999,89.35000000000001,91.03
